case_id,state,district,project_type,project_category,priority,land_area_acres,number_of_landowners,number_of_land_parcels,affected_villages,affected_households,private_land_pct,government_land_pct,current_stage,days_in_current_stage,survey_completed,ownership_verification_pending,notification_pending,objection_count,compensation_pending,approval_pending,pending_documents,missing_documents,dispute_count,court_case,total_processing_days,previous_stage_delay_days,district_historical_delay_rate,historical_average_delay_days,similar_case_average_delay_days,seasonal_factor,staff_workload_ratio,budget_release_delay_days,compensation_amount_lakh,delayed,expected_additional_delay_days
LA200499,Telangana,Warangal,Public Infrastructure,Development Project,High,147.51,41,29,9,22,74,26,Award,42,0,0,0,3,1,0,2,0,3,0,147,19,0.302,48,18.8,0.96,0.34,6,758.9,1,68
LA201629,Telangana,Warangal,Industrial,Development Project,Critical,29.7,36,15,5,26,93.9,6.1,Survey,7,1,0,0,5,0,0,2,1,2,0,99,30,0.366,56.3,42.9,1,0.95,3,64.33,1,51
LA200211,Telangana,Hyderabad,Industrial,Development Project,High,88.5,41,28,10,24,41.4,58.6,Ownership Verification,27,1,1,1,0,0,0,1,1,2,0,128,22,0.544,,58.9,1.04,0.65,6,490.32,1,78
LA202471,Maharashtra,Aurangabad,Public Infrastructure,Development Project,Normal,116.97,22,14,6,12,36.1,63.9,Award,27,1,0,0,4,0,0,1,0,3,0,115,16,0.65,89.1,50.2,1.1,0.55,7,522.25,1,61
LA200602,Odisha,Cuttack,Highway,Major Infrastructure,Critical,99.92,35,18,9,32,59.9,40.1,Award,63,0,1,0,0,0,0,5,0,2,0,202,20,0.758,91,47.9,1.1,0.72,5,174.25,1,92
LA200228,Odisha,Puri,Irrigation,Major Infrastructure,Normal,241.42,32,16,12,16,81.6,18.4,Objection,69,1,0,0,1,0,0,0,0,3,1,156,6,0.243,39.3,28.5,1.17,0.26,5,675.34,1,65
LA200366,Maharashtra,Kolhapur,Public Infrastructure,Development Project,Normal,38.05,23,16,1,21,80.9,19.1,Approval,19,1,0,0,1,1,0,3,1,0,0,89,6,0.333,45,54.8,0.96,0.91,5,108.27,1,46
LA200582,Odisha,Khordha,Highway,Major Infrastructure,High,55.79,27,11,2,21,72.1,27.9,Approval,52,1,1,1,4,0,1,1,1,4,0,226,6,0.527,81.1,26.9,1.07,0.66,2,131.6,0,85
LA202856,Odisha,Khordha,Public Infrastructure,Development Project,Normal,17.92,30,16,3,25,58.7,41.3,Approval,12,0,1,0,2,1,1,1,0,4,0,143,52,0.365,52.5,51.8,0.94,0.77,7,56.25,1,104
LA202179,Andhra Pradesh,Tirupati,Railway,Major Infrastructure,Normal,59.65,45,20,11,20,97.2,2.8,Notification,,1,0,0,1,1,0,1,1,1,0,151,14,0.821,113.5,60.8,1,0.57,2,159.02,1,77
LA202019,Telangana,Nalgonda,Highway,Major Infrastructure,Normal,44.63,32,24,2,24,87.2,12.8,Compensation,23,0,1,0,4,0,0,1,0,2,0,140,24,0.079,18.5,25.5,1,0.77,4,66.81,1,55
LA200860,Maharashtra,Nagpur,Railway,Major Infrastructure,Normal,71.89,34,18,7,16,34.8,65.2,Compensation,66,1,1,0,0,1,0,1,0,1,0,148,2,0.35,42.9,28.2,0.98,0.58,3,248.04,1,72
LA200408,Karnataka,Mysuru,Public Infrastructure,Development Project,Normal,157.22,31,24,8,15,79.1,20.9,Survey,10,1,0,1,0,1,0,3,2,7,0,138,20,0.809,100.9,35.7,1,0.55,7,499.46,1,113
LA201921,Karnataka,Mysuru,Highway,Major Infrastructure,Normal,133.34,28,20,10,15,48.9,51.1,Compensation,13,1,0,0,3,0,0,1,0,4,1,123,54,0.392,45.5,25.3,0.97,0.75,3,582.45,1,81
LA201614,Telangana,Rangareddy,Industrial,Development Project,High,190.43,23,16,10,16,80.7,19.3,Possession,35,1,1,1,3,0,0,1,0,2,1,180,19,0.636,84.9,33.9,0.99,0.34,4,875.07,1,92
LA200679,Karnataka,Belagavi,Industrial,Development Project,Normal,148.47,28,18,12,15,32.2,67.8,Award,22,1,0,1,2,0,0,2,1,4,0,263,20,0.544,64.6,85.2,1.15,0.52,2,810.39,0,71
LA201265,Karnataka,Tumakuru,Railway,Major Infrastructure,Normal,63.5,23,16,6,20,36.3,63.7,Possession,2,1,1,0,1,0,1,1,1,1,0,71,12,0.469,65.4,19.3,1.12,0.73,5,42.28,1,63
LA202408,Odisha,Sambalpur,Public Infrastructure,Development Project,Normal,99.81,21,9,5,14,53.4,46.6,Compensation,65,1,0,0,0,1,0,2,0,3,0,174,35,0.44,71.8,50.8,1.01,0.52,5,300.75,1,99
LA200692,Andhra Pradesh,Krishna,Industrial,Development Project,Normal,84.93,31,21,11,20,76.1,23.9,Ownership Verification,65,1,1,0,5,0,0,3,2,0,0,158,6,0.526,69.9,37.4,1.06,0.83,3,124.75,1,64
LA200008,Maharashtra,Kolhapur,Highway,Major Infrastructure,High,148.14,26,10,1,12,80.9,19.1,Compensation,13,1,1,1,1,1,0,4,3,0,0,99,2,0.198,35.5,61.7,0.89,0.4,3,293.2,0,65
LA202868,Karnataka,Tumakuru,Highway,Major Infrastructure,Normal,107.67,34,14,11,24,98.4,1.6,Compensation,46,1,1,0,2,1,0,2,1,3,0,135,9,0.624,79.4,29.3,1.01,0.46,4,95.52,1,81
LA201205,Maharashtra,Nagpur,Railway,Major Infrastructure,Normal,74.04,36,23,5,20,48.5,51.5,Compensation,29,1,1,0,4,0,0,3,1,1,1,95,7,0.434,65.4,24.4,0.95,0.78,3,403.42,1,74
LA202234,Maharashtra,Aurangabad,Public Infrastructure,Development Project,Critical,65.09,30,15,4,22,84.4,15.6,Survey,24,1,0,0,3,0,0,2,1,1,0,84,5,0.63,91.7,35.7,0.99,0.78,8,218.1,1,65
LA200416,Telangana,Hyderabad,Irrigation,Major Infrastructure,Normal,44.44,24,15,8,13,40.1,59.9,Compensation,,1,0,0,2,1,0,0,0,1,0,149,2,0.359,57.9,20.2,1.09,0.46,3,95.06,1,38
LA200671,Odisha,Ganjam,Highway,Major Infrastructure,Normal,147.29,27,18,2,17,92.2,7.8,Compensation,25,1,0,0,0,1,0,2,1,1,0,111,2,0.29,58.2,28.5,0.91,0.81,1,588.69,1,56
LA200811,Telangana,Hyderabad,Highway,Major Infrastructure,High,22.46,21,13,6,12,61.5,38.5,Ownership Verification,42,1,1,0,3,0,1,1,0,2,0,135,17,0.139,44.7,28.7,1.03,0.69,3,16.99,0,78
LA201090,Karnataka,Mysuru,Railway,Major Infrastructure,Normal,18.49,34,20,5,20,96.7,3.3,Notification,45,0,1,1,2,1,0,1,0,5,1,289,20,0.337,49,75.2,1.14,0.33,4,85.4,1,109
LA200200,Odisha,Cuttack,Public Infrastructure,Development Project,Normal,127.89,31,16,10,33,95.6,4.4,Survey,40,1,0,0,1,0,0,1,1,2,0,121,10,0.523,88.4,36.8,1.11,0.4,8,132.17,1,44
LA200284,Maharashtra,Nashik,Industrial,Development Project,Normal,125.95,32,18,12,23,33.8,66.2,Approval,67,1,0,0,3,0,1,1,0,2,0,239,52,0.568,68,63.9,1.12,0.6,4,391.49,1,98
LA200232,Maharashtra,Nagpur,Industrial,Development Project,Critical,26.25,30,19,11,20,90.7,9.3,Compensation,,1,1,1,1,0,1,1,0,2,1,101,8,0.354,46.4,32,1.01,0.17,2,47.5,0,90
LA202731,Maharashtra,Kolhapur,Irrigation,Major Infrastructure,Normal,70.75,29,20,9,18,90.5,9.5,Compensation,15,1,1,0,5,1,0,3,1,1,0,92,9,0.44,79.1,44.2,1.16,0.5,3,247.1,1,60
LA202862,Andhra Pradesh,Visakhapatnam,Industrial,Development Project,Normal,57.93,31,20,6,17,63.8,36.2,Possession,64,0,0,0,2,0,0,2,0,2,0,188,13,0.556,87.7,50.9,1.15,0.63,4,123.53,1,48
LA200097,Telangana,Hyderabad,Highway,Major Infrastructure,Normal,75.02,27,21,1,17,47.4,52.6,Notification,9,0,0,1,4,1,0,1,0,5,0,71,2,0.658,88.3,31.3,1.14,0.7,3,257.54,1,62
LA201588,Andhra Pradesh,Visakhapatnam,Highway,Major Infrastructure,Normal,,28,20,3,17,59.5,40.5,Approval,55,1,0,0,1,0,1,4,2,3,0,160,6,0.381,62.6,,1.13,0.58,3,50.21,1,76
LA202570,Maharashtra,Pune,Railway,Major Infrastructure,Normal,109.98,30,17,2,16,46.7,53.3,Compensation,56,1,0,0,3,1,0,3,2,1,1,133,14,0.559,74,53.3,1.16,0.39,2,285.21,1,88
LA201607,Telangana,Medchal-Malkajgiri,Industrial,Development Project,High,103.07,31,22,6,19,46.2,53.8,Notification,21,1,0,1,2,1,0,1,0,3,0,72,8,0.177,40.3,28.8,1.17,0.88,3,260.64,1,48
LA200677,Karnataka,Belagavi,Public Infrastructure,Development Project,Normal,269.69,31,13,8,29,76.6,23.4,Notification,13,1,1,1,6,0,0,0,0,2,0,258,18,0.204,45.2,19.1,1.13,0.84,9,1044.43,1,57
LA201861,Odisha,Cuttack,Highway,Major Infrastructure,Normal,53.5,18,12,4,8,77.8,22.2,Notification,77,1,0,0,3,0,0,1,1,2,0,251,8,0.467,70.1,25.5,0.93,0.65,5,63.62,1,64
LA202782,Telangana,Hyderabad,Highway,Major Infrastructure,High,96.74,25,17,6,23,41.1,58.9,Objection,10,0,0,0,4,0,1,1,0,0,0,96,7,0.436,61.5,63.5,1.17,0.65,2,188.59,1,44
LA202864,Maharashtra,Kolhapur,Public Infrastructure,Development Project,Normal,30.45,27,13,6,11,80,20,Objection,14,1,0,0,2,1,0,2,0,4,1,180,33,0.562,84,126.8,1.17,0.76,3,49.53,1,92
LA202588,Andhra Pradesh,Guntur,Irrigation,Major Infrastructure,Normal,76.65,29,15,5,21,58.4,41.6,Award,4,1,1,0,4,1,1,3,0,0,0,96,9,0.532,82.4,43.7,1.04,0.75,4,231.97,1,73
LA201400,Telangana,Rangareddy,Highway,Major Infrastructure,Normal,75.97,35,21,2,21,33.6,66.4,Award,12,1,0,0,0,1,0,2,0,2,1,90,5,0.612,72.1,59.3,0.9,0.74,4,370.17,1,79
LA201371,Andhra Pradesh,Krishna,Industrial,Development Project,Normal,134.97,23,14,10,16,88.1,11.9,Compensation,37,0,0,0,2,1,1,6,4,2,0,163,19,0.573,73.2,49.8,1.03,0.75,1,404.11,1,103
LA200105,Maharashtra,Pune,Industrial,Development Project,Normal,127.02,28,16,6,22,87.9,12.1,Compensation,8,1,0,0,4,1,0,4,3,3,0,92,22,0.242,39.4,68.7,0.94,0.82,5,632.65,1,72
LA202088,Telangana,Hyderabad,Highway,Major Infrastructure,High,229.41,41,32,5,35,78.7,21.3,Ownership Verification,65,1,0,0,0,0,0,2,0,1,0,147,29,0.172,35.5,69.7,0.89,0.47,3,807.78,1,53
LA200600,Andhra Pradesh,Guntur,Highway,Major Infrastructure,Critical,23.14,25,12,5,26,39.9,60.1,Objection,9,1,0,0,3,0,0,2,0,1,0,106,20,0.353,57.9,85.9,1.16,0.31,1,95.52,1,33
LA201757,Telangana,Nalgonda,Railway,Major Infrastructure,High,33.78,28,15,2,16,60.3,39.7,Objection,14,0,0,0,2,0,1,0,0,0,1,166,13,0.703,93.5,33.9,0.92,0.93,2,70.97,1,63
LA201324,Karnataka,Belagavi,Railway,Major Infrastructure,High,69.83,28,18,3,16,68,32,Ownership Verification,17,1,0,0,4,0,0,2,1,4,0,92,8,0.301,48.5,81.9,0.99,0.78,9,99.92,1,46
LA200643,Maharashtra,Kolhapur,Railway,Major Infrastructure,Normal,180.36,38,24,7,17,30,70,Possession,42,0,0,1,2,1,0,1,1,1,1,134,20,0.317,44.8,115.9,1.06,0.66,4,837.55,1,92
LA200701,Maharashtra,Kolhapur,Railway,Major Infrastructure,High,101.95,28,17,6,21,82,18,Approval,25,1,0,0,0,0,1,1,0,4,1,175,6,0.324,61.3,18.9,1.09,0.84,5,294.33,1,80
LA200227,Odisha,Puri,Public Infrastructure,Development Project,Normal,163.32,28,21,11,17,66.8,33.2,Compensation,48,0,0,0,0,1,1,,0,1,0,151,8,0.44,56.9,54.6,1.15,0.49,2,228.05,1,61
LA201698,Odisha,Cuttack,Highway,Major Infrastructure,Critical,,33,13,12,21,52.7,47.3,Possession,20,0,0,0,2,0,1,1,0,4,0,189,14,0.482,67.1,32.8,1.15,0.39,4,211.28,1,77
LA201011,Maharashtra,Kolhapur,Highway,Major Infrastructure,Normal,38.4,35,17,5,28,96.3,3.7,Compensation,32,1,0,0,1,1,0,2,1,3,0,140,17,0.288,45.3,52.8,1.1,0.48,1,161.15,1,70
LA201573,Telangana,Medchal-Malkajgiri,Irrigation,Major Infrastructure,Normal,97.83,26,11,7,13,40.3,59.7,Award,16,0,0,0,3,0,0,1,0,1,0,177,15,0.628,77.5,54.5,0.98,0.71,3,328.63,1,35
LA200777,Maharashtra,Kolhapur,Irrigation,Major Infrastructure,Normal,60.46,32,17,5,18,44.8,55.2,Objection,26,1,1,0,5,0,1,3,2,1,0,162,42,0.604,78.7,86.8,1.07,0.92,3,301.96,1,112
LA201731,Odisha,Ganjam,Public Infrastructure,Development Project,High,205.11,27,21,9,16,85.5,14.5,Possession,5,1,1,0,4,0,0,2,0,1,0,170,32,0.307,38.2,34.4,1.07,0.54,6,537.12,1,63
LA202827,Maharashtra,Pune,Railway,Major Infrastructure,Normal,107.32,33,17,5,27,43.9,56.1,Compensation,35,1,0,0,4,0,0,3,0,0,0,144,18,0.225,48.6,13.2,0.94,0.72,5,97.82,1,41
LA202229,Odisha,Puri,Highway,Major Infrastructure,High,307.26,21,12,4,12,55.7,44.3,Notification,7,0,1,1,4,1,0,0,0,3,0,165,12,0.565,87.3,43.2,1.14,0.39,6,351.14,1,79
LA202795,Andhra Pradesh,Guntur,Public Infrastructure,Development Project,Normal,31.31,26,19,8,17,71.4,28.6,Notification,72,1,0,0,2,0,0,1,1,0,0,159,8,0.549,83.4,51,0.93,0.65,3,96.11,1,45
LA200465,Karnataka,Mysuru,Railway,Major Infrastructure,Normal,148.53,34,19,12,23,98,2,Award,23,1,1,1,2,0,0,1,1,1,1,151,35,0.443,70.9,57.5,1.09,0.69,4,342.9,1,92
LA202652,Telangana,Hyderabad,Irrigation,Major Infrastructure,Normal,34.27,35,23,5,28,62.6,37.4,Compensation,71,1,0,0,0,0,0,0,0,1,0,266,15,0.267,58.8,43.2,0.91,0.56,6,74.67,1,49
LA201094,Telangana,Warangal,Highway,Major Infrastructure,Normal,53.75,32,15,5,19,65.9,34.1,Award,54,0,1,0,3,1,1,0,0,1,0,232,11,0.14,27.8,20.4,1.07,0.96,5,247.73,1,75
LA201272,Odisha,Cuttack,Irrigation,Major Infrastructure,Normal,59.27,43,20,5,30,34.3,65.7,Notification,59,1,0,1,1,1,0,1,0,1,0,242,1,0.311,58.6,16,1.11,0.91,4,59.88,0,68
LA202924,Karnataka,Tumakuru,Irrigation,Major Infrastructure,High,25.54,26,9,4,18,58.4,41.6,Possession,54,1,0,0,3,0,0,1,0,1,0,204,19,0.339,44.6,72.2,1.01,0.73,7,79.92,1,56
LA201581,Telangana,Nalgonda,Highway,Major Infrastructure,High,389.75,22,10,7,15,82.8,17.2,Objection,33,1,1,0,2,0,0,1,0,0,0,165,11,0.545,87.5,22.2,1.01,0.54,2,1158.64,1,70
LA201208,Telangana,Hyderabad,Industrial,Development Project,High,62.39,30,16,9,22,45.3,54.7,Approval,34,1,0,0,3,0,1,2,1,1,0,147,4,0.203,37,64,0.92,0.5,3,194.58,1,53
LA200213,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,Normal,42.12,24,11,9,12,30.3,69.7,Possession,3,1,0,0,3,1,1,1,0,2,0,123,14,0.605,72.9,62.5,1.05,0.4,9,107.49,1,75
LA200013,Karnataka,Bengaluru Rural,Railway,Major Infrastructure,High,16.03,29,17,5,21,71.8,28.2,Objection,24,0,0,0,0,1,0,1,1,3,0,93,8,0.361,53.3,50,1.12,0.66,5,64.91,1,55
LA202973,Telangana,Warangal,Highway,Major Infrastructure,High,49.74,26,18,6,19,48.8,51.2,Possession,73,1,0,1,1,0,1,2,0,2,0,149,2,0.345,58.8,20.8,1.11,0.22,3,108.1,1,70
LA200423,Andhra Pradesh,Krishna,Highway,Major Infrastructure,High,101.89,38,21,3,29,87,13,Compensation,43,1,1,0,1,1,1,1,0,2,0,164,15,0.504,66.4,40.5,1.14,0.7,4,331.62,0,87
LA201689,Andhra Pradesh,Krishna,Railway,Major Infrastructure,High,67.03,37,24,2,18,71.6,28.4,Objection,32,1,0,0,2,1,0,3,2,1,0,167,7,0.336,47.5,27.6,1.03,0.49,5,139.75,1,63
LA201780,Andhra Pradesh,Tirupati,Public Infrastructure,Development Project,Normal,150.5,27,10,11,21,99.4,0.6,Award,11,1,0,0,2,0,0,3,1,1,0,211,10,0.37,53.4,42.6,0.98,0.36,8,168.34,0,43
LA202640,Maharashtra,Pune,Public Infrastructure,Development Project,Normal,195.47,19,11,6,11,83.3,16.7,Ownership Verification,32,1,1,0,5,1,0,3,2,1,0,92,18,0.379,45.4,56.4,1.12,0.39,7,604.24,1,76
LA202320,Odisha,Puri,Industrial,Development Project,Normal,69.36,30,19,11,20,71.9,28.1,Ownership Verification,38,1,0,0,3,0,0,3,1,3,0,141,5,0.481,73.3,27.7,0.95,0.62,4,49.43,1,54
LA200638,Odisha,Sambalpur,Highway,Major Infrastructure,High,37.95,23,14,9,18,62.1,37.9,Notification,18,1,1,0,4,0,1,3,0,1,0,104,18,0.144,26.4,111.9,1.05,0.76,3,95.78,1,52
LA201279,Maharashtra,Pune,Railway,Major Infrastructure,Normal,39.08,28,14,8,27,92.5,7.5,Award,14,1,1,0,1,0,0,0,0,1,0,107,4,0.289,42.8,48.4,1.06,0.68,6,93.56,0,45
LA201641,Telangana,Warangal,Public Infrastructure,Development Project,Normal,172.27,24,14,12,13,31.3,68.7,Possession,47,0,0,0,0,0,0,4,1,0,0,162,8,0.45,63.7,24.2,0.92,0.66,3,804.72,1,54
LA200510,Telangana,Rangareddy,Highway,Major Infrastructure,Normal,46.17,40,29,6,25,59.3,40.7,Ownership Verification,59,1,0,0,5,1,0,1,0,0,0,143,6,0.706,88.3,29.2,0.91,0.37,1,77.13,1,55
LA200598,Odisha,Puri,Railway,Major Infrastructure,Normal,,37,14,1,24,93.2,6.8,Survey,44,1,1,0,0,0,0,0,0,4,1,168,13,0.166,33.7,27.2,0.95,0.85,0,275.03,1,60
LA202713,Odisha,Ganjam,Highway,Major Infrastructure,High,66.52,35,27,2,23,61,39,Ownership Verification,10,1,0,0,1,1,0,4,4,3,0,82,6,0.444,68.2,33.9,1.02,0.37,6,66.41,1,76
LA202635,Karnataka,Mysuru,Industrial,Development Project,Normal,31.29,23,16,9,17,42.1,57.9,Notification,73,1,0,1,4,0,1,3,0,2,0,139,4,0.26,52,15.2,0.93,0.77,5,34.66,1,80
LA202365,Karnataka,Belagavi,Irrigation,Major Infrastructure,Normal,,19,7,2,14,46.1,53.9,Notification,16,1,1,1,5,1,1,1,0,1,0,126,24,0.663,91.1,88.3,1.06,0.63,1,222.24,1,79
LA202644,Telangana,Rangareddy,Highway,Major Infrastructure,Normal,25.46,28,11,11,21,78.1,21.9,Notification,38,1,0,1,1,1,0,1,0,2,0,131,2,0.653,99,59.8,1.12,0.42,10,75.28,1,63
LA200519,Maharashtra,Nagpur,Industrial,Development Project,Normal,117.39,35,20,6,21,98.2,1.8,Award,17,1,1,0,1,0,0,1,0,0,0,154,15,0.535,83.4,23.8,1.04,0.43,4,248.54,1,57
LA202794,Andhra Pradesh,Guntur,Industrial,Development Project,High,15,44,18,11,33,90.4,9.6,Possession,20,0,0,0,1,0,0,2,1,3,1,137,8,0.347,64.1,20.4,1.02,0.43,4,48.65,1,63
LA200574,Andhra Pradesh,Guntur,Industrial,Development Project,High,114.04,21,14,2,18,47.1,52.9,Award,72,1,0,0,2,0,0,4,4,2,0,162,1,0.359,55.7,64.4,0.92,0.35,5,277.15,1,72
LA202726,Karnataka,Mysuru,Public Infrastructure,Development Project,Normal,12.41,27,9,3,21,86.6,13.4,Objection,29,0,0,0,4,0,1,1,1,2,0,95,3,0.254,46.5,33.6,0.95,0.61,10,15.16,0,49
LA201098,Odisha,Sambalpur,Highway,Major Infrastructure,Normal,128.77,35,26,8,22,80.3,19.7,Notification,,1,0,0,1,1,0,3,2,3,0,163,3,0.495,77.4,25.8,0.9,0.34,4,708.33,1,77
LA201948,Karnataka,Bengaluru Rural,Highway,Major Infrastructure,Normal,198.38,35,22,2,23,66.8,33.2,Compensation,22,1,1,0,3,0,0,1,0,4,1,200,38,0.223,45,56.1,1.01,0.75,3,586.76,1,103
LA201449,Andhra Pradesh,NTR,Railway,Major Infrastructure,Normal,123.02,17,12,10,11,42.4,57.6,Survey,22,1,1,0,3,0,1,0,0,2,0,128,7,0.566,77.4,43.9,1.05,0.71,2,534.39,0,68
LA201585,Karnataka,Dharwad,Railway,Major Infrastructure,Normal,127.38,28,14,2,23,36.1,63.9,Possession,16,1,1,0,1,0,0,2,1,0,0,77,24,0.184,29.1,19,1.13,0.61,2,260.34,1,50
LA202597,Karnataka,Belagavi,Railway,Major Infrastructure,Normal,143.85,33,19,7,21,64.5,35.5,Objection,62,1,1,0,0,0,0,2,1,1,1,252,9,0.468,60,51.5,1,0.64,5,403.03,1,84
LA200965,Odisha,Cuttack,Industrial,Development Project,Normal,99.8,23,15,11,13,62.5,37.5,Objection,32,1,0,0,3,0,0,3,2,3,0,124,11,0.315,,19.2,1.09,0.5,2,155.66,1,51
LA201019,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,High,54.27,29,13,3,24,57.5,42.5,Compensation,37,0,0,0,3,1,0,1,0,1,0,146,9,0.219,44,19.4,0.89,0.31,2,165.97,1,44
LA202909,Odisha,Puri,Public Infrastructure,Development Project,High,27.72,41,30,8,37,73.1,26.9,Ownership Verification,46,1,1,1,3,0,1,4,1,1,0,130,4,0.561,80,51.9,0.93,0.81,6,110.17,1,81
LA200359,Odisha,Ganjam,Highway,Major Infrastructure,High,60.08,27,12,10,10,38.3,61.7,Award,63,1,0,0,1,1,1,2,0,1,0,199,9,0.453,61.9,39.9,1.04,0.73,1,223.18,1,66
LA200737,Karnataka,Bengaluru Rural,Railway,Major Infrastructure,Normal,87.79,22,9,6,12,43.6,56.4,Award,5,1,0,0,3,0,0,1,0,0,0,178,6,0.422,67.9,19.9,1.05,0.55,3,,0,19
LA201785,Maharashtra,Kolhapur,Railway,Major Infrastructure,Normal,64.26,37,22,6,22,31.6,68.4,Notification,53,1,1,1,0,1,0,2,1,1,0,221,40,0.468,60.7,43.6,0.88,0.42,5,206.97,1,114
LA201609,Andhra Pradesh,Guntur,Railway,Major Infrastructure,Normal,18.12,29,19,4,25,88.4,11.6,Notification,7,0,0,0,3,0,0,1,1,2,0,103,10,0.256,54.3,29.8,0.99,0.43,5,27.14,0,48
LA200260,Karnataka,Dharwad,Highway,Major Infrastructure,Normal,88.95,31,16,4,20,80.7,19.3,Possession,42,1,0,0,1,1,0,2,2,0,0,253,28,0.524,70.7,60.5,0.94,0.57,1,340.36,1,59
LA202772,Odisha,Ganjam,Irrigation,Major Infrastructure,High,50.33,15,9,3,6,53.7,46.3,Survey,14,0,0,0,2,1,0,2,0,2,0,100,22,0.133,33.9,46.5,1.02,0.82,5,59.23,1,58
LA202643,Karnataka,Bengaluru Rural,Irrigation,Major Infrastructure,Normal,46.97,22,15,5,10,60.6,39.4,Approval,47,1,1,0,0,1,1,1,0,0,0,99,4,0.495,71.6,27.8,0.98,0.61,2,67.18,1,68
LA202743,Maharashtra,Pune,Highway,Major Infrastructure,Normal,72.68,31,17,10,24,61,39,Survey,41,1,0,0,2,0,0,6,5,1,0,190,14,0.602,85.4,66.4,1.05,0.76,4,83.11,1,70
LA202384,Karnataka,Mysuru,Railway,Major Infrastructure,Critical,59.2,27,11,11,18,53.6,46.4,Ownership Verification,29,1,1,0,3,0,0,3,0,2,0,91,12,0.41,67.3,25.4,1.07,0.52,3,47.51,0,58
LA201030,Karnataka,Tumakuru,Highway,Major Infrastructure,Normal,82.23,34,26,12,24,48.4,51.6,Survey,38,1,0,0,3,0,1,2,0,1,0,222,6,0.682,85.6,81.5,0.93,0.58,3,163.84,1,51
LA202409,Odisha,Khordha,Public Infrastructure,Development Project,Critical,34.12,25,11,12,17,36.2,63.8,Notification,17,1,1,1,4,1,1,4,3,2,0,133,5,0.345,42.2,35.1,0.96,0.62,7,70.31,1,96
LA200970,Andhra Pradesh,Guntur,Railway,Major Infrastructure,Normal,244.61,24,11,2,20,89.4,10.6,Ownership Verification,34,1,0,0,3,0,1,0,0,2,0,119,7,0.281,41.2,30.1,1.18,0.83,2,331.15,1,51
LA202991,Telangana,Hyderabad,Public Infrastructure,Development Project,Normal,83.69,26,16,10,23,53.8,46.2,Survey,28,1,1,0,1,1,0,0,0,3,1,144,5,0.394,64.9,53.7,1.09,0.66,5,274.21,1,73
LA200820,Telangana,Nalgonda,Public Infrastructure,Development Project,High,90.22,45,24,11,31,96.2,3.8,Possession,60,1,0,0,1,1,0,4,1,2,0,200,3,0.175,,72.8,0.93,0.58,4,264.57,1,62
LA202717,Telangana,Hyderabad,Highway,Major Infrastructure,Normal,35.43,25,15,3,17,99.4,0.6,Compensation,8,1,0,1,2,1,0,3,1,2,0,95,9,0.686,80.8,26.8,0.9,0.63,3,47.35,0,68
LA202326,Karnataka,Bengaluru Rural,Railway,Major Infrastructure,Normal,25.17,29,21,9,22,71.4,28.6,Approval,99,1,0,0,2,0,1,4,3,0,0,166,28,0.748,94.5,37.5,1.02,0.91,1,76.68,1,89
LA200457,Maharashtra,Kolhapur,Highway,Major Infrastructure,Normal,89.89,33,19,5,14,65.5,34.5,Compensation,34,1,0,0,1,1,1,0,0,1,0,124,5,0.633,89.4,50.2,0.97,0.5,6,224.11,1,51
LA200463,Odisha,Sambalpur,Railway,Major Infrastructure,High,28.64,36,27,7,28,33.9,66.1,Notification,90,0,0,1,3,0,0,0,0,2,0,252,18,0.353,50.3,25.8,1.06,0.76,5,41.31,1,60
LA202345,Odisha,Sambalpur,Highway,Major Infrastructure,Normal,72.43,28,10,2,21,74.6,25.4,Notification,32,1,0,0,5,0,0,1,1,1,0,155,5,0.564,83.8,71.1,1.06,0.36,4,300.4,1,50
LA202689,Odisha,Cuttack,Railway,Major Infrastructure,Normal,9.67,31,22,2,25,78.5,21.5,Objection,9,1,0,0,2,0,0,1,0,0,0,91,9,0.252,51.2,14.8,1.08,0.82,4,24.84,0,27
LA200382,Odisha,Khordha,Irrigation,Major Infrastructure,High,32.42,22,10,4,15,45.8,54.2,Notification,14,1,1,0,4,0,0,4,2,2,0,79,15,0.365,64.8,37.3,0.91,0.64,2,48.49,1,67
LA201892,Telangana,Medchal-Malkajgiri,Public Infrastructure,Development Project,High,110.1,20,12,3,17,59.7,40.3,Compensation,31,1,1,0,3,1,0,2,1,1,0,111,5,0.478,63.1,39.3,1.01,0.61,2,258.64,1,62
LA201833,Telangana,Hyderabad,Highway,Major Infrastructure,Critical,47.97,26,15,3,17,98.6,1.4,Survey,20,1,1,0,3,0,1,0,0,0,0,134,24,0.596,82.4,43.4,0.96,0.74,3,122.05,0,64
LA202309,Telangana,Hyderabad,Public Infrastructure,Development Project,Normal,69.27,37,19,2,35,97,3,Ownership Verification,55,1,0,0,2,0,0,2,2,4,0,149,10,0.464,70.5,33.5,1.02,0.61,7,312.76,1,81
LA201507,Odisha,Puri,Public Infrastructure,Development Project,Normal,25.72,22,16,4,13,33.3,66.7,Ownership Verification,16,1,1,0,4,0,0,4,2,4,0,144,3,0.417,68.5,34.9,1.07,0.54,7,24.65,1,87
